Pavarde   Vardas    ND1  ND2  ND3  ND4  ND5  Egzaminas
Jonas Zubis 9 8 7 10 6 8
Aleliuja Gur 10 9 8 7 6 9
Pavarde3 Alanas 7 7 9 5 4 7
Pavarde4 Vardas4 6 5 4 8 7 5
Pavarde6 Vardas6 5 6 7 8 6 7
Pavarde7 Vardas7 9 10 9 8 7 10
Pavarde8 Vardas8 6 5 7 6 8 6
Zolius Vardas9 7 8 9 6 7 8
Pavarde10 Vardas10 9 8 7 6 5 9
Pavarde11 Vardas11 4 5 6 7 8 7
Pavarde12 Vardas12 8 9 8 7 6 8
Pavarde13 Vardas13 6 7 5 9 10 9
Pavarde14 Vardas14 7 8 6 9 7 6
Pavarde15 Vardas15 9 9 10 9 8 9
Pavarde16 Vardas16 6 5 4 3 7 5
Pavarde17 Vardas17 8 9 7 6 8 7
Pavarde18 Vardas18 7 6 9 10 9 8
Pavarde19 Vardas19 5 6 7 8 6 9
Pavarde20 Vardas20 8 7 9 6 8 7
Pavarde21 Vardas21 9 10 8 7 6 9
Pavarde22 Vardas22 7 6 5 4 8 6
Pavarde23 Vardas23 8 9 7 8 9 10
Pavarde24 Vardas24 6 5 8 7 9 6
Pavarde25 Vardas25 5 7 6 8 7 8
Pavarde26 Vardas26 10 9 8 7 6 9
Pavarde27 Vardas27 9 8 7 6 8 9
Pavarde28 Vardas28 6 7 8 9 7 8
Pavarde29 Vardas29 7 8 6 9 10 8
Pavarde30 Vardas30 9 10 8 7 6 9
